UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 10:09 ?        00:00:00 /sbin/init splash
root           2       0  0 10:09 ?        00:00:00 [kthreadd]
root           3       2  0 10:09 ?        00:00:00 [rcu_gp]
root           4       2  0 10:09 ?        00:00:00 [rcu_par_gp]
root           6       2  0 10:09 ?        00:00:00 [kworker/0:0H-events_highpri]
root           7       2  0 10:09 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root           8       2  0 10:09 ?        00:00:00 [kworker/u2:0-events_power_efficient]
root           9       2  0 10:09 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 10:09 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 10:09 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 10:09 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 10:09 ?        00:00:00 [rcu_sched]
root          14       2  0 10:09 ?        00:00:00 [migration/0]
root          15       2  0 10:09 ?        00:00:00 [idle_inject/0]
root          16       2  0 10:09 ?        00:00:00 [cpuhp/0]
root          17       2  0 10:09 ?        00:00:00 [kdevtmpfs]
root          18       2  0 10:09 ?        00:00:00 [netns]
root          19       2  0 10:09 ?        00:00:00 [inet_frag_wq]
root          20       2  0 10:09 ?        00:00:00 [kauditd]
root          21       2  0 10:09 ?        00:00:00 [khungtaskd]
root          22       2  0 10:09 ?        00:00:00 [oom_reaper]
root          23       2  0 10:09 ?        00:00:00 [writeback]
root          24       2  0 10:09 ?        00:00:00 [kcompactd0]
root          25       2  0 10:09 ?        00:00:00 [ksmd]
root          26       2  0 10:09 ?        00:00:00 [khugepaged]
root          72       2  0 10:09 ?        00:00:00 [kintegrityd]
root          73       2  0 10:09 ?        00:00:00 [kblockd]
root          74       2  0 10:09 ?        00:00:00 [blkcg_punt_bio]
root          75       2  0 10:09 ?        00:00:00 [tpm_dev_wq]
root          76       2  0 10:09 ?        00:00:00 [ata_sff]
root          77       2  0 10:09 ?        00:00:00 [md]
root          78       2  0 10:09 ?        00:00:00 [edac-poller]
root          79       2  0 10:09 ?        00:00:00 [devfreq_wq]
root          80       2  0 10:09 ?        00:00:00 [watchdogd]
root          81       2  0 10:09 ?        00:00:00 [kworker/u2:1-ext4-rsv-conversion]
root          82       2  0 10:09 ?        00:00:00 [kworker/0:1H-kblockd]
root          84       2  0 10:09 ?        00:00:01 [kswapd0]
root          85       2  0 10:09 ?        00:00:00 [ecryptfs-kthrea]
root          87       2  0 10:09 ?        00:00:00 [kthrotld]
root          88       2  0 10:09 ?        00:00:00 [acpi_thermal_pm]
root          89       2  0 10:09 ?        00:00:00 [kworker/u2:2-events_unbound]
root          90       2  0 10:09 ?        00:00:00 [scsi_eh_0]
root          91       2  0 10:09 ?        00:00:00 [scsi_tmf_0]
root          92       2  0 10:09 ?        00:00:00 [scsi_eh_1]
root          93       2  0 10:09 ?        00:00:00 [scsi_tmf_1]
root          94       2  0 10:09 ?        00:00:00 [vfio-irqfd-clea]
root          95       2  0 10:09 ?        00:00:00 [ipv6_addrconf]
root         105       2  0 10:09 ?        00:00:00 [kstrp]
root         108       2  0 10:09 ?        00:00:00 [zswap-shrink]
root         109       2  0 10:09 ?        00:00:00 [kworker/u3:0]
root         114       2  0 10:09 ?        00:00:00 [charger_manager]
root         150       2  0 10:09 ?        00:00:00 [scsi_eh_2]
root         152       2  0 10:09 ?        00:00:00 [scsi_tmf_2]
root         173       2  0 10:09 ?        00:00:00 [jbd2/sda5-8]
root         174       2  0 10:09 ?        00:00:00 [ext4-rsv-conver]
root         213       1  0 10:09 ?        00:00:00 /lib/systemd/systemd-journald
root         235       1  0 10:09 ?        00:00:00 /lib/systemd/systemd-udevd
root         236       2  0 10:09 ?        00:00:00 [irq/18-vmwgfx]
root         238       2  0 10:09 ?        00:00:00 [ttm_swap]
root         239       2  0 10:09 ?        00:00:00 [card0-crtc0]
root         240       2  0 10:09 ?        00:00:00 [card0-crtc1]
root         241       2  0 10:09 ?        00:00:00 [card0-crtc2]
root         242       2  0 10:09 ?        00:00:00 [card0-crtc3]
root         243       2  0 10:09 ?        00:00:00 [card0-crtc4]
root         244       2  0 10:09 ?        00:00:00 [card0-crtc5]
root         245       2  0 10:09 ?        00:00:00 [card0-crtc6]
root         246       2  0 10:09 ?        00:00:00 [card0-crtc7]
root         266       2  0 10:09 ?        00:00:00 [loop0]
root         268       2  0 10:09 ?        00:00:00 [loop1]
root         270       2  0 10:09 ?        00:00:00 [loop2]
root         271       2  0 10:09 ?        00:00:00 [loop3]
root         273       2  0 10:09 ?        00:00:00 [loop4]
root         299       2  0 10:09 ?        00:00:00 [cryptd]
systemd+     476       1  0 10:09 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     477       1  0 10:09 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         507       1  0 10:09 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         508       1  0 10:09 ?        00:00:00 /usr/sbin/acpid
root         509       1  0 10:09 ?        00:00:00 /usr/sbin/anacron -d -q -s
avahi        511       1  0 10:09 ?        00:00:00 avahi-daemon: running [danielsusman-VirtualBox.local]
root         513       1  0 10:09 ?        00:00:00 /usr/sbin/cron -f
root         515       1  0 10:09 ?        00:00:00 /usr/sbin/cupsd -l
message+     518       1  0 10:09 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         519       1  0 10:09 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         532       1  0 10:09 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         536       1  0 10:09 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       540       1  0 10:09 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         546       1  0 10:09 ?        00:00:01 /usr/lib/snapd/snapd
root         547       1  0 10:09 ?        00:00:00 /usr/libexec/switcheroo-control
root         551       1  0 10:09 ?        00:00:00 /lib/systemd/systemd-logind
root         553       1  0 10:09 ?        00:00:00 /usr/lib/udisks2/udisksd
root         560       1  0 10:09 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        576     511  0 10:09 ?        00:00:00 avahi-daemon: chroot helper
lp           592     515  0 10:09 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
